id,slug,name,category,specificCategory,postcodeArea,location,address,phone,email,website,facebook,instagram,shortDescription,about,services,logo,heroImage,cardImage,gallery,featured,verified,logoStatus
haven-mobility,,Haven Mobility,"Health, Beauty & Lifestyle",Mobility Services,NP,Cwmbran,,,,,,,"Mobility specialists in Cwmbran supplying, installing and servicing stairlifts, bathing aids, toileting aids and other mobility equipment.",,Stairlift supply | Stairlift installation | Mobility equipment servicing | Bathing aids | Toileting aids | Free quotations,assets/images/businesses/haven-mobility/haven-mobility-logo-pending.svg,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,assets/images/businesses/haven-mobility/haven-mobility-logo-pending.svg,,false,true,temporary-name-card
jmg-roofing-ltd,,JMG Roofing (South Wales) Ltd,Trades & Services,Roofing,NP20,Newport,,,,,,,"Family-run Newport roofing contractors with over 30 years of experience across roof installation, maintenance and repairs.",,"Roof installations | Roof maintenance | Fibreglass roofing | Felt roofing | Slate and tiled roofs | Soffits, fascias and guttering",assets/images/businesses/jmg-roofing-ltd/jmg-roofing-ltd-logo.jpg,assets/images/businesses/jmg-roofing-ltd/jmg-roofing-ltd-hero.jpg,,assets/images/businesses/jmg-roofing-ltd/jmg-roofing-ltd-gallery-01.jpg | assets/images/businesses/jmg-roofing-ltd/jmg-roofing-ltd-gallery-02.jpg,false,true,
beijing-house,,Beijing House,Food & Drink,Takeaways,NP4,Pontypool,,,,,,,Local takeaway serving customers in the NP area.,,Takeaway food | Chinese takeaway | Local collection | Phone orders,assets/images/businesses/beijing-house/beijing-house-logo-pending.svg,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,assets/images/businesses/beijing-house/beijing-house-logo-pending.svg,,false,true,temporary-name-card
dead-car-salvage,,Dead Car Salvage (Rail Bridge Motors),Motoring & Transport,Salvage / Car Sales,NP18,Ponthir,,,,,,,"Experienced scrap car and salvage specialists offering fair prices, professional service and vehicle collection across South Wales.",,Scrap car collection | Vehicle salvage | Cash for cars | End-of-life vehicles | Car sales | Responsible vehicle processing,assets/images/businesses/dead-car-salvage/dead-car-salvage-hero.jpg,assets/images/businesses/dead-car-salvage/dead-car-salvage-hero.jpg,assets/images/businesses/dead-car-salvage/dead-car-salvage-hero.jpg,assets/images/businesses/dead-car-salvage/dead-car-salvage-gallery-01.png,false,true,
torfaen-salvage,,Torfaen Salvage,Home & Garden,Salvage / Building Supplies,NP4,Pontypool,,,,,,,"Family-run salvage yard supplying reclaimed building, garden and architectural materials to public and trade customers.",,Architectural salvage | Building materials | Garden materials | Reclaimed items | Timber supplies | Trade and public sales,assets/images/businesses/torfaen-salvage/torfaen-salvage-logo-pending.svg,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,assets/images/businesses/torfaen-salvage/torfaen-salvage-logo-pending.svg,,false,true,temporary-name-card
ivanhoe-haulage,,Ivanhoe Haulage,Motoring & Transport,Haulage,NP,Abergavenny,,,,,,,"Licensed and insured haulage, groundworks, demolition and digger hire services with over 18 years of experience.",,Grab lorry hire | Digger hire | Excavator hire | Muck removal | Groundworks | Demolition services,assets/images/businesses/ivanhoe-haulage/ivanhoe-haulage-logo.png,assets/images/businesses/ivanhoe-haulage/ivanhoe-haulage-hero.png,,assets/images/businesses/ivanhoe-haulage/ivanhoe-haulage-gallery-01.jpg,false,true,
cwmbran-digital-television-services,,Cwmbran Digital Television Services,Trades & Services,Aerial Services,NP4,Pontypool,,,,,,,"Professional TV aerial and satellite installation and repair services across Torfaen, Newport and Monmouthshire.",,TV aerial installation | Satellite installation | Aerial repairs | Satellite repairs | Digital TV support | Local callouts,assets/images/businesses/cwmbran-digital-television-services/cwmbran-digital-television-services-hero.jpg,assets/images/businesses/cwmbran-digital-television-services/cwmbran-digital-television-services-gallery-01.jpg,assets/images/businesses/cwmbran-digital-television-services/cwmbran-digital-television-services-hero.jpg,assets/images/businesses/cwmbran-digital-television-services/cwmbran-digital-television-services-hero.jpg,false,true,
t-s-traditional-barbers,,T's Traditional Barbers,"Health, Beauty & Lifestyle",Barbers,NP44,Cwmbran,,,,,,,Traditional Croesyceiliog barbers offering professional men?s haircuts and grooming in a relaxed local setting.,,Men?s haircuts | Traditional barbering | Styling and grooming | Men?s grooming products | Appointments | Local barbershop service,assets/images/businesses/t-s-traditional-barbers/t-s-traditional-barbers-logo.png,assets/images/businesses/t-s-traditional-barbers/t-s-traditional-barbers-hero.jpg,,assets/images/businesses/t-s-traditional-barbers/t-s-traditional-barbers-gallery-01.png,false,true,
maria-s-flowers,,Maria's Flowers,Shopping & Retail,Florists,NP,Cwmbran,,,,,,,"Family-run Cwmbran florist supplying fresh and artificial flowers for birthdays, anniversaries, weddings, funerals and special occasions.",,Fresh flowers | Artificial flowers | Wedding flowers | Funeral flowers | Same-day delivery | Flowers for special occasions,assets/images/businesses/maria-s-flowers/maria-s-flowers-logo.png,assets/images/businesses/maria-s-flowers/maria-s-flowers-hero.jpg,,,false,true,
andrews-jewellers,,Andrews Jewellers,Shopping & Retail,Jewellers,NP4,Pontypool,,,,,,,"Family-run Pontypool jewellers offering jewellery, watch and clock sales, repairs, engraving and ear piercing.",,Jewellery sales | Watch repairs | Clock repairs | Jewellery repairs | Engraving | Ear piercing,assets/images/businesses/andrews-jewellers/andrews-jewellers-hero.png,assets/images/businesses/andrews-jewellers/andrews-jewellers-hero.png,assets/images/businesses/andrews-jewellers/andrews-jewellers-hero.png,,false,true,
