_publishStatus,Title,Businesses (Item),Business Name,businessName1,Main Category,Short Description,Specific Category,About Us,Services,Logo,Hero Banner,Gallery Images,Phone,Email,Website URL,Facebook URL,Instagram URL,TikTok URL,LinkedIn URL,YouTube URL,Address,Town / Locality,Postcode,Google Maps URL,Category,Page URL,ID,Created Date,Updated Date,Owner,_publishDate,_draftDate
,Haven Mobility,/businesses-2/haven-mobility,Haven Mobility,,"Health, Beauty & Lifestyle",Haven Mobility is a local mobility services business serving customers across the NP postcode area.,Mobility Services,Haven Mobility is a local mobility services business serving customers across the NP postcode area.,Mobility Services,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/haven-mobility-cwmbran,,,,,,Cwmbran,Cwmbran,NP,,Mobility Services,https://www.newportlocalbusiness.co.uk/haven-mobility-cwmbran,0b1edb33-8b28-445b-9c3e-b52983faa60c,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,JMG Roofing (South Wales) Ltd,/businesses-2/jmg-roofing-(south-wales)-ltd,JMG Roofing (South Wales) Ltd,,Trades & Services,JMG Roofing (South Wales) Ltd is a local roofing business serving customers across the NP postcode area.,Roofing,JMG Roofing (South Wales) Ltd is a local roofing business serving customers across the NP postcode area.,Roofing,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.jmg-roofing.co.uk/,,,,,,"Brynglas Court, Newport, NP20 5QR, NP20 5QR",Newport,NP20,,Roofing,https://www.newportlocalbusiness.co.uk/jmg-roofing-south-wales,19f7ad51-0403-40f7-9659-7177656b8bdf,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Beijing House,/businesses-2/beijing-house,Beijing House,,Food & Drink,Beijing House is a local takeaways business serving customers across the NP postcode area.,Takeaways,Beijing House is a local takeaways business serving customers across the NP postcode area.,Takeaways,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,01495 760915,,https://www.newportlocalbusiness.co.uk/beijing-house,,,,,,"36 The Walk, New Inn, Pontypool, Torfaen, NP4 0PU, NP4 0PU",Pontypool,NP4,,Takeaways,https://www.newportlocalbusiness.co.uk/beijing-house,26b6bf3b-1875-414f-9468-6181b205975f,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Dead Car Salvage (Rail Bridge Motors),/businesses-2/dead-car-salvage-(rail-bridge-motors),Dead Car Salvage (Rail Bridge Motors),,Motoring & Transport,Dead Car Salvage (Rail Bridge Motors) is a local salvage / car sales business serving customers across the NP postcode area.,Salvage / Car Sales,Dead Car Salvage (Rail Bridge Motors) is a local salvage / car sales business serving customers across the NP postcode area.,Salvage / Car Sales,,assets/images/hero/np-local-business-legacy-hero.png,,07407 225806,,https://www.newportlocalbusiness.co.uk/dead-car-salvage,,,,,,"Yard B, Western Inds Est, Ponthir, NP18 3NN, NP18 3NN",Ponthir,NP18,,Salvage / Car Sales,https://www.newportlocalbusiness.co.uk/dead-car-salvage,3138e002-fd9d-4294-9ba6-e576ea765ef3,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Torfaen Salvage,/businesses-2/torfaen-salvage,Torfaen Salvage,,Home & Garden,Torfaen Salvage is a local salvage / building supplies business serving customers across the NP postcode area.,Salvage / Building Supplies,Torfaen Salvage is a local salvage / building supplies business serving customers across the NP postcode area.,Salvage / Building Supplies,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/torfaen-salvage-pontypool,,,,,,"Polo Grounds, New Inn, Pontypool, Torfaen, NP4 0TW, NP4 0TW",Pontypool,NP4,,Salvage / Building Supplies,https://www.newportlocalbusiness.co.uk/torfaen-salvage-pontypool,3c090b5c-eb8c-4093-bbf8-36f5c3aa27e3,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Ivanhoe Haulage,/businesses-2/ivanhoe-haulage,Ivanhoe Haulage,,Motoring & Transport,Ivanhoe Haulage is a local haulage business serving customers across the NP postcode area.,Haulage,Ivanhoe Haulage is a local haulage business serving customers across the NP postcode area.,Haulage,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/ivanhoe-haulage,,,,,,Abergavenny,Abergavenny,NP,,Haulage,https://www.newportlocalbusiness.co.uk/ivanhoe-haulage,40543c42-e350-4bb2-ac54-9b4685133df7,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Cwmbran Digital Television Services,/businesses-2/cwmbran-digital-television-services,Cwmbran Digital Television Services,,Trades & Services,Cwmbran Digital Television Services is a local aerial services business serving customers across the NP postcode area.,Aerial Services,Cwmbran Digital Television Services is a local aerial services business serving customers across the NP postcode area.,Aerial Services,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,07970 918721,,https://www.newportlocalbusiness.co.uk/cwmbran-digital-television-services,,,,,,"68 Chester Close, New Inn, Pontypool, Torfaen, NP4 0LU, NP4 0LU",Pontypool,NP4,,Aerial Services,https://www.newportlocalbusiness.co.uk/cwmbran-digital-television-services,46ae0bee-95dc-4230-ac88-ac330ad53a7c,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,T's Traditional Barbers,/businesses-2/t's-traditional-barbers,T's Traditional Barbers,,"Health, Beauty & Lifestyle",T's Traditional Barbers is a local barbers business serving customers across the NP postcode area.,Barbers,T's Traditional Barbers is a local barbers business serving customers across the NP postcode area.,Barbers,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/ts-traditional-barbers,,,,,,"Ashford Close, Croesyceiliog, Cwmbran, Torfaen, NP44 2AY, NP44 2AY",Cwmbran,NP44,,Barbers,https://www.newportlocalbusiness.co.uk/ts-traditional-barbers,47e7dd08-bb3a-4791-a249-c19d4a15f5d4,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Maria's Flowers,/businesses-2/maria's-flowers,Maria's Flowers,,Shopping & Retail,Maria's Flowers is a local florists business serving customers across the NP postcode area.,Florists,Maria's Flowers is a local florists business serving customers across the NP postcode area.,Florists,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/marias-florist,,,,,,"The Mall, Cwmbran Shopping Centre",Cwmbran,NP,,Florists,https://www.newportlocalbusiness.co.uk/marias-florist,49aa6437-ce8f-4d94-9893-6c3bb51aaef3,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Andrews Jewellers,/businesses-2/andrews-jewellers,Andrews Jewellers,,Shopping & Retail,Andrews Jewellers is a local jewellers business serving customers across the NP postcode area.,Jewellers,Andrews Jewellers is a local jewellers business serving customers across the NP postcode area.,Jewellers,,assets/images/hero/np-local-business-legacy-hero.png,,01495 751432,,https://www.newportlocalbusiness.co.uk/andrews-jewellers,,,,,,"30 George Street, Pontypool, Torfaen, NP4 6BY, NP4 6BY",Pontypool,NP4,,Jewellers,https://www.newportlocalbusiness.co.uk/andrews-jewellers,5033c015-1645-4676-8499-54e175a9d72f,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Jock The Lock,/businesses-2/jock-the-lock,Jock The Lock,,Trades & Services,Jock The Lock is a local locksmiths business serving customers across the NP postcode area.,Locksmiths,Jock The Lock is a local locksmiths business serving customers across the NP postcode area.,Locksmiths,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/jock-the-lock,,,,,,"Unit 79, Springvale Ind Est, Cwmbran, Torfaen, NP44 5BE, NP44 5BE",Cwmbran,NP44,,Locksmiths,https://www.newportlocalbusiness.co.uk/jock-the-lock,57732c9a-c0c2-492e-8c16-be0c72f77b7a,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Mosswood Industrial Supplies,/businesses-2/mosswood-industrial-supplies,Mosswood Industrial Supplies,,Shopping & Retail,Mosswood Industrial Supplies is a local industrial supplies business serving customers across the NP postcode area.,Industrial Supplies,Mosswood Industrial Supplies is a local industrial supplies business serving customers across the NP postcode area.,Industrial Supplies,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/mosswood-industrial-supplies-cwmbra,,,,,,"33 Court Road Industrial Estate, Cwmbran, NP44 3AS, NP44 3AS",Cwmbran,NP44,,Industrial Supplies,https://www.newportlocalbusiness.co.uk/mosswood-industrial-supplies-cwmbra,5afbc058-c894-4810-9025-1d5fa07a741e,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
